"","V1","spot","siteid","GRIDID","x","y","FF","MD","FW","FO","WL","UB","WB","BU","BL","ELE","ELEMAX","ELEMIN","ELERA","ELESD","Slope","Aspect","ASR","dog","cat","total","buffer","year","worktime","species","count","OI","diet","nest","diet_number","diet_total","nest_number","nest_total"
"1",1,"萬大機2","B30-02","3826_226264",263500,2652500,0,0,0,964138.7339,0,0,35861.26611,0,0,1000.403114,1219,893,326,82.54684184,25.56282,223.4051056,1565.23424,1,0,2,FALSE,2014,3081.08,"dog",0,0,"ground","ground",15,164,6,164
"2",2,"萬大機2","B30-02","3826_226264",263500,2652500,0,0,0,964138.7339,0,0,35861.26611,0,0,1000.403114,1219,893,326,82.54684184,25.56282,223.4051056,1565.23424,1,0,2,FALSE,2015,2437.75,"dog",1,0.410214336991078,"ground","ground",18,158,8,158
"3",3,"高地機4","A34-04","3826_164184",183500,2528500,442611.2704,119027.9651,0,319332.7994,0,0,0,119027.9651,0,222.5363322,300,86,214,50.48213458,11.52169,87.5581131,1586.046491,1,0,1,FALSE,2018,200.83,"dog",4,19.9173430264403,"ground","ground",10,96,NA,NA
"4",4,"高地機4","A34-04","3826_164184",183500,2528500,442611.2704,119027.9651,0,319332.7994,0,0,0,119027.9651,0,222.5363322,300,86,214,50.48213458,11.52169,87.5581131,1586.046491,1,0,1,FALSE,2019,3013.37,"dog",12,3.98225242834435,"ground","ground",12,112,NA,NA
"5",5,"半屏機1","A34-52","3826_155680",179500,2511500,206245.5458,209365.1141,0,288369.7801,0,296019.5599,0,0,0,76.55795848,180,18,162,47.44389435,15.31293,60.99570465,1505.635027,2,0,2,FALSE,2021,745.92,"dog",1,1.34062634062634,"ground","ground",1,101,NA,NA
"6",6,"半屏機2","A34-52","3826_155680",179500,2511500,206245.5458,209365.1141,0,288369.7801,0,296019.5599,0,0,0,76.55795848,180,18,162,47.44389435,15.31293,60.99570465,1505.635027,2,0,2,FALSE,2021,863.63,"dog",2,2.31580653752186,"ground","ground",1,101,NA,NA
"7",7,"國7二機2","A34-38","3826_150686",185500,2501500,430808.1771,273549.2998,195837.5038,49218.94737,0,1367.124512,0,49218.94737,0,26.71626298,64,11,53,9.573469967,5.15951,307.4430237,1551.025967,1,0,1,FALSE,2019,153.53,"dog",10,65.1338500618772,"ground","ground",10,58,NA,NA
"8",8,"國7二機2","A34-38","3826_150686",185500,2501500,430808.1771,273549.2998,195837.5038,49218.94737,0,1367.124512,0,49218.94737,0,26.71626298,64,11,53,9.573469967,5.15951,307.4430237,1551.025967,1,0,1,FALSE,2020,3182.35,"dog",147,46.1922792904614,"ground","ground",9,67,1,67
"9",9,"曾機B1","A36-17","3826_188708",207500,2577500,59206.59167,630558.1115,20765.79309,174944,0,0,114525.5038,0,0,215.6105169,246,169,77,15.26079863,6.0538,309.9814758,1572.855999,1,0,1,FALSE,2012,3155.04,"dog",1,0.316953192352553,"ground","ground",NA,NA,NA,NA
"10",10,"曾機B1","A36-17","3826_188708",207500,2577500,59206.59167,630558.1115,20765.79309,174944,0,0,114525.5038,0,0,215.6105169,246,169,77,15.26079863,6.0538,309.9814758,1572.855999,1,0,1,FALSE,2013,6439.23,"dog",3,0.465894214059756,"ground","ground",NA,NA,NA,NA
